Application order,Age at enrollment,Unemployment rate,Inflation rate,GDP,Units 1st sem credit,Units 1st sem enroll,Units 1st sem approved,Units 1st sem grade,Units 1st sem eval,Units 1st sem without eval
1,30,11.1,0.6,2.02,0,6,0,0,7,0
1,18,16.2,0.3,-0.92,0,6,5,11.57142857,9,0
1,18,16.2,0.3,-0.92,0,7,7,12.71428571,7,0
2,19,15.5,2.8,-4.06,0,6,6,13.85714286,8,0
1,27,11.1,0.6,2.02,0,7,0,0,14,0
1,32,7.6,2.6,0.32,0,6,4,12,9,0
1,19,16.2,0.3,-0.92,0,6,6,12.16666667,6,0
1,20,11.1,0.6,2.02,4,9,9,13.45454545,12,0
5,19,9.4,-0.8,-3.12,0,8,8,14.34125,8,0
1,19,12.4,0.5,1.79,0,7,7,13.7,7,0
3,18,15.5,2.8,-4.06,0,7,7,11.71666667,12,0
2,19,7.6,2.6,0.32,0,7,6,12.76666667,7,0
1,33,16.2,0.3,-0.92,2,7,6,14.35,8,0
2,18,10.8,1.4,1.74,0,8,7,14.65428571,8,0
4,19,13.9,-0.3,0.79,0,6,6,11.66666667,7,0
3,21,9.4,-0.8,-3.12,0,5,5,12.2,13,2
1,19,9.4,-0.8,-3.12,0,8,6,11.83333333,10,0
1,21,8.9,1.4,3.51,6,12,12,15.33333333,12,0
1,23,9.4,-0.8,-3.12,0,5,2,10,7,1
2,18,13.9,-0.3,0.79,0,6,5,13,8,0
1,18,10.8,1.4,1.74,0,6,6,13.66666667,6,0
1,33,16.2,0.3,-0.92,0,6,0,0,8,0
1,26,13.9,-0.3,0.79,0,6,0,0,7,0
1,20,16.2,0.3,-0.92,0,6,6,11.875,9,0
1,21,15.5,2.8,-4.06,12,18,18,11.88888889,22,1
1,18,11.1,0.6,2.02,0,6,6,14.625,8,0
3,24,10.8,1.4,1.74,0,5,0,0,5,0
1,23,15.5,2.8,-4.06,9,13,9,11,15,0
1,18,7.6,2.6,0.32,0,5,2,10.5,8,0
2,18,8.9,1.4,3.51,0,6,0,0,6,0
1,21,12.4,0.5,1.79,7,12,8,12.25,18,0
3,19,9.4,-0.8,-3.12,0,4,0,0,8,1
1,44,11.1,0.6,2.02,0,7,5,12.1,11,0
3,20,10.8,1.4,1.74,0,4,0,0,4,0
1,30,10.8,1.4,1.74,0,6,0,0,0,0
1,18,7.6,2.6,0.32,0,5,3,11.66666667,6,0
1,20,12.7,3.7,-1.7,0,6,6,14.25,8,0
1,19,16.2,0.3,-0.92,0,5,5,11.6,8,0
1,18,11.1,0.6,2.02,0,6,6,14,8,0
3,19,12.7,3.7,-1.7,0,5,1,13,10,1
1,18,7.6,2.6,0.32,0,5,0,0,5,0
1,18,12.7,3.7,-1.7,0,5,1,10,13,0
1,18,12.7,3.7,-1.7,0,5,4,13.25,8,1
4,21,10.8,1.4,1.74,0,6,0,0,0,0
5,18,9.4,-0.8,-3.12,0,7,0,0,0,0
6,20,8.9,1.4,3.51,0,5,5,14,6,0
1,18,12.4,0.5,1.79,0,6,6,17,10,0
1,20,11.1,0.6,2.02,5,12,12,11.23076923,13,0
2,19,10.8,1.4,1.74,0,8,7,13.93714286,8,0
4,18,16.2,0.3,-0.92,0,7,7,12.65,8,0
1,20,7.6,2.6,0.32,0,5,4,11.6,9,0
2,18,12.4,0.5,1.79,0,6,6,14.16666667,6,0
3,19,9.4,-0.8,-3.12,0,8,1,13.67,10,7
2,19,8.9,1.4,3.51,0,7,2,12.75,16,0
4,20,8.9,1.4,3.51,0,5,4,14.25,10,0
2,41,7.6,2.6,0.32,0,6,5,11.8,9,0
1,20,10.8,1.4,1.74,0,6,6,12.66666667,7,0
3,19,7.6,2.6,0.32,0,5,5,15.2,5,0
1,18,7.6,2.6,0.32,0,7,6,13.96666667,7,0
1,20,16.2,0.3,-0.92,0,6,6,11.5,8,0
6,18,9.4,-0.8,-3.12,0,0,0,0,0,0
1,25,11.1,0.6,2.02,0,6,6,14.66666667,6,0
2,18,12.7,3.7,-1.7,0,7,7,15.15555556,9,0
2,20,9.4,-0.8,-3.12,0,8,7,14.90142857,8,1
1,20,13.9,-0.3,0.79,0,6,6,12.33333333,6,0
2,18,15.5,2.8,-4.06,0,7,7,13.42857143,7,0
1,18,8.9,1.4,3.51,0,6,6,12.83333333,6,0
1,18,13.9,-0.3,0.79,0,5,4,11.57142857,11,0
5,18,13.9,-0.3,0.79,0,5,4,11,14,0
1,38,16.2,0.3,-0.92,0,7,3,11.83333333,13,0
1,18,12.4,0.5,1.79,0,6,6,11.57142857,10,0
1,20,8.9,1.4,3.51,0,6,6,14.83333333,6,0
2,18,13.9,-0.3,0.79,0,6,0,0,0,0
1,20,16.2,0.3,-0.92,0,6,6,11.28571429,11,0
1,21,12.4,0.5,1.79,0,6,6,12.85714286,7,0
1,18,9.4,-0.8,-3.12,0,0,0,0,0,0
4,19,7.6,2.6,0.32,0,7,6,15.43333333,7,0
2,23,7.6,2.6,0.32,5,10,8,11.625,19,1
